Record_No,PMID,Title,Authors,Citation,First_Author,Journal_or_Book,Publication_Year,Create_Date,PMCID,DOI
1,38266651,Psychological stress-induced microbial metabolite indole-3-acetate disrupts intestinal cell lineage commitment,"Wei W, Liu Y, Hou Y, Cao S, Chen Z, Zhang Y, Cai X, Yan Q, Li Z, Yuan Y, Wang G, Zheng X, Hao H.",Cell Metab. 2024 Mar 5;36(3):466-483.e7. doi: 10.1016/j.cmet.2023.12.026. Epub 2024 Jan 23.,Wei W,Cell Metab,2024,2024-01-24,,10.1016/j.cmet.2023.12.026
2,39163863,Physical exercise mediates cortical synaptic protein lactylation to improve stress resilience,"Yan L, Wang Y, Hu H, Yang D, Wang W, Luo Z, Wang Y, Yang F, So KF, Zhang L.",Cell Metab. 2024 Sep 3;36(9):2104-2117.e4. doi: 10.1016/j.cmet.2024.07.018. Epub 2024 Aug 19.,Yan L,Cell Metab,2024,2024-08-20,,10.1016/j.cmet.2024.07.018
3,30066368,Short-chain fatty acids: microbial metabolites that alleviate stress-induced brain-gut axis alterations,"van de Wouw M, Boehme M, Lyte JM, Wiley N, Strain C, O'Sullivan O, Clarke G, Stanton C, Dinan TG, Cryan JF.",J Physiol. 2018 Oct;596(20):4923-4944. doi: 10.1113/JP276431. Epub 2018 Aug 28.,van de Wouw M,J Physiol,2018,2018-08-02,PMC6187046,10.1113/JP276431
4,36289300,Feed your microbes to deal with stress: a psychobiotic diet impacts microbial stability and perceived stress in a healthy adult population,"Berding K, Bastiaanssen TFS, Moloney GM, Boscaini S, Strain CR, Anesi A, Long-Smith C, Mattivi F, Stanton C, Clarke G, Dinan TG, Cryan JF.",Mol Psychiatry. 2023 Feb;28(2):601-610. doi: 10.1038/s41380-022-01817-y. Epub 2022 Oct 27.,Berding K,Mol Psychiatry,2023,2022-10-26,PMC9908549,10.1038/s41380-022-01817-y
5,31705553,"Sex, stress and steroids","Sze Y, Brunton PJ.",Eur J Neurosci. 2020 Jul;52(1):2487-2515. doi: 10.1111/ejn.14615. Epub 2019 Dec 16.,Sze Y,Eur J Neurosci,2020,2019-11-10,,10.1111/ejn.14615
6,29389735,Psychological Stress and Mitochondria: A Conceptual Framework,"Picard M, McEwen BS.",Psychosom Med. 2018 Feb/Mar;80(2):126-140. doi: 10.1097/PSY.0000000000000544.,Picard M,Psychosom Med,2018,2018-02-02,PMC5901651,10.1097/PSY.0000000000000544
7,25295784,Muscle over mind,"Moon HY, van Praag H.",Cell Metab. 2014 Oct 7;20(4):560-2. doi: 10.1016/j.cmet.2014.09.012.,Moon HY,Cell Metab,2014,2014-10-09,PMC6016023,10.1016/j.cmet.2014.09.012
8,29869396,Stress-Induced Depression: Is Social Rank a Predictive Risk Factor?,"Larrieu T, Sandi C.",Bioessays. 2018 Jul;40(7):e1800012. doi: 10.1002/bies.201800012. Epub 2018 Jun 4.,Larrieu T,Bioessays,2018,2018-06-06,,10.1002/bies.201800012
9,34280459,Prenatal stress-induced disruptions in microbial and host tryptophan metabolism and transport,"Galley JD, Chen HJ, Antonson AM, Gur TL.",Behav Brain Res. 2021 Sep 24;414:113471. doi: 10.1016/j.bbr.2021.113471. Epub 2021 Jul 16.,Galley JD,Behav Brain Res,2021,2021-07-19,PMC9528311,10.1016/j.bbr.2021.113471
10,22688187,The microbiome-gut-brain axis during early life regulates the hippocampal serotonergic system in a sex-dependent manner,"Clarke G, Grenham S, Scully P, Fitzgerald P, Moloney RD, Shanahan F, Dinan TG, Cryan JF.",Mol Psychiatry. 2013 Jun;18(6):666-73. doi: 10.1038/mp.2012.77. Epub 2012 Jun 12.,Clarke G,Mol Psychiatry,2013,2012-06-13,,10.1038/mp.2012.77
11,27793217,Exercise and Prebiotics Produce Stress Resistance: Converging Impacts on Stress-Protective and Butyrate-Producing Gut Bacteria,"Mika A, Rumian N, Loughridge AB, Fleshner M.",Int Rev Neurobiol. 2016;131:165-191. doi: 10.1016/bs.irn.2016.08.004. Epub 2016 Sep 23.,Mika A,Int Rev Neurobiol,2016,2016-10-30,,10.1016/bs.irn.2016.08.004
12,34285226,Early-life social experience affects offspring DNA methylation and later life stress phenotype,"Laubach ZM, Greenberg JR, Turner JW, Montgomery TM, Pioon MO, Sawdy MA, Smale L, Cavalcante RG, Padmanabhan KR, Lalancette C, vonHoldt B, Faulk CD, Dolinoy DC, Holekamp KE, Perng W.",Nat Commun. 2021 Jul 20;12(1):4398. doi: 10.1038/s41467-021-24583-x.,Laubach ZM,Nat Commun,2021,2021-07-21,PMC8292380,10.1038/s41467-021-24583-x
13,16979750,"Progestins influence motivation, reward, conditioning, stress, and/or response to drugs of abuse",Frye CA.,Pharmacol Biochem Behav. 2007 Feb;86(2):209-19. doi: 10.1016/j.pbb.2006.07.033. Epub 2006 Sep 18.,Frye CA,Pharmacol Biochem Behav,2007,2006-09-19,PMC3613144,10.1016/j.pbb.2006.07.033
14,34062291,"Stress and the Gut-Brain Axis: Implications for Cancer, Inflammation and Sepsis","Moughnyeh MM, Brawner KM, Kennedy BA, Yeramilli VA, Udayakumar N, Graham JA, Martin CA.",J Surg Res. 2021 Oct;266:336-344. doi: 10.1016/j.jss.2021.02.055. Epub 2021 May 29.,Moughnyeh MM,J Surg Res,2021,2021-06-01,,10.1016/j.jss.2021.02.055
15,32957066,Current methods for stress marker detection in saliva,"Giacomello G, Scholten A, Parr MK.",J Pharm Biomed Anal. 2020 Nov 30;191:113604. doi: 10.1016/j.jpba.2020.113604. Epub 2020 Sep 6.,Giacomello G,J Pharm Biomed Anal,2020,2020-09-21,PMC7474833,10.1016/j.jpba.2020.113604
16,26690895,Stress-related regulation of the kynurenine pathway: Relevance to neuropsychiatric and degenerative disorders,"O'Farrell K, Harkin A.",Neuropharmacology. 2017 Jan;112(Pt B):307-323. doi: 10.1016/j.neuropharm.2015.12.004. Epub 2015 Dec 12.,O'Farrell K,Neuropharmacology,2017,2015-12-23,,10.1016/j.neuropharm.2015.12.004
17,33891645,Questionnaires and salivary cortisol to measure stress and depression in mid-pregnancy,"Vlenterie R, Geuijen PM, van Gelder MMHJ, Roeleveld N.",PLoS One. 2021 Apr 23;16(4):e0250459. doi: 10.1371/journal.pone.0250459. eCollection 2021.,Vlenterie R,PLoS One,2021,2021-04-23,PMC8064545,10.1371/journal.pone.0250459
18,23975043,"Inflammation, heart disease, and depression",Halaris A.,Curr Psychiatry Rep. 2013 Oct;15(10):400. doi: 10.1007/s11920-013-0400-5.,Halaris A,Curr Psychiatry Rep,2013,2013-08-27,,10.1007/s11920-013-0400-5
19,29380303,Gut Microbiota and the Neuroendocrine System,"Farzi A, Fröhlich EE, Holzer P.",Neurotherapeutics. 2018 Jan;15(1):5-22. doi: 10.1007/s13311-017-0600-5.,Farzi A,Neurotherapeutics,2018,2018-01-31,PMC5794709,10.1007/s13311-017-0600-5
20,36368524,"Psychological distress and metabolomic markers: A systematic review of posttraumatic stress disorder, anxiety, and subclinical distress","Zhu Y, Jha SC, Shutta KH, Huang T, Balasubramanian R, Clish CB, Hankinson SE, Kubzansky LD.",Neurosci Biobehav Rev. 2022 Dec;143:104954. doi: 10.1016/j.neubiorev.2022.104954. Epub 2022 Nov 8.,Zhu Y,Neurosci Biobehav Rev,2022,2022-11-11,PMC9729460,10.1016/j.neubiorev.2022.104954
21,19157987,Roles of prostaglandin E receptors in stress responses,"Furuyashiki T, Narumiya S.",Curr Opin Pharmacol. 2009 Feb;9(1):31-8. doi: 10.1016/j.coph.2008.12.010. Epub 2009 Jan 20.,Furuyashiki T,Curr Opin Pharmacol,2009,2009-01-23,,10.1016/j.coph.2008.12.010
22,26299831,[Stress and the kynurenine pathway],"Majláth Z, Vécsei L.",Orv Hetil. 2015 Aug 30;156(35):1402-5. doi: 10.1556/650.2015.30246.,Majláth Z,Orv Hetil,2015,2015-08-25,,10.1556/650.2015.30246
23,34539633,Psychological Stresses in Children Trigger Cytokine- and Kynurenine Metabolite-Mediated Abdominal Pain and Proinflammatory Changes,"Myint K, Jacobs K, Myint AM, Lam SK, Lim YA, Boey CC, Hoe SZ, Guillemin GJ.",Front Immunol. 2021 Sep 1;12:702301. doi: 10.3389/fimmu.2021.702301. eCollection 2021.,Myint K,Front Immunol,2021,2021-09-20,PMC8442661,10.3389/fimmu.2021.702301
24,27254089,Alcohol Effects on Stress Pathways: Impact on Craving and Relapse Risk,"Blaine SK, Milivojevic V, Fox H, Sinha R.",Can J Psychiatry. 2016 Mar;61(3):145-53. doi: 10.1177/0706743716632512. Epub 2016 Feb 9.,Blaine SK,Can J Psychiatry,2016,2016-06-03,PMC4813419,10.1177/0706743716632512
25,38563163,Developmental and adult stress: effects of steroids and neurosteroids,"Gore IR, Gould E.",Stress. 2024 Jan;27(1):2317856. doi: 10.1080/10253890.2024.2317856. Epub 2024 Apr 2.,Gore IR,Stress,2024,2024-04-02,PMC11046567,10.1080/10253890.2024.2317856
26,34032647,Production of Psychoactive Metabolites by Gut Bacteria,"Wiley NC, Cryan JF, Dinan TG, Ross RP, Stanton C.",Mod Trends Psychiatry. 2021;32:74-99. doi: 10.1159/000510419. Epub 2021 May 6.,Wiley NC,Mod Trends Psychiatry,2021,2021-05-25,,10.1159/000510419
27,27830572,Inflammation-Associated Co-morbidity Between Depression and Cardiovascular Disease,Halaris A.,Curr Top Behav Neurosci. 2017;31:45-70. doi: 10.1007/7854_2016_28.,Halaris A,Curr Top Behav Neurosci,2017,2016-11-11,,10.1007/7854_2016_28
28,34695711,How acute physical and psychological stress differentially influence the kynurenine pathway: A randomized cross-over trial,"Herhaus B, Joisten N, Wessels I, Zimmer P, Petrowski K.",Psychoneuroendocrinology. 2021 Dec;134:105433. doi: 10.1016/j.psyneuen.2021.105433. Epub 2021 Sep 25.,Herhaus B,Psychoneuroendocrinology,2021,2021-10-25,,10.1016/j.psyneuen.2021.105433
29,28442354,The influence of stress on neuroinflammation and alterations in brain structure and function in major depressive disorder,"Kim YK, Won E.",Behav Brain Res. 2017 Jun 30;329:6-11. doi: 10.1016/j.bbr.2017.04.020. Epub 2017 Apr 22.,Kim YK,Behav Brain Res,2017,2017-04-27,,10.1016/j.bbr.2017.04.020
30,32087063,Ancestral stress programs sex-specific biological aging trajectories and non-communicable disease risk,"Ambeskovic M, Ilnytskyy Y, Kiss D, Currie C, Montina T, Kovalchuk I, Metz GAS.",Aging (Albany NY). 2020 Feb 22;12(4):3828-3847. doi: 10.18632/aging.102848. Epub 2020 Feb 22.,Ambeskovic M,Aging (Albany NY),2020,2020-02-23,PMC7066928,10.18632/aging.102848
31,32316280,Identification of Suitable Biomarkers for Stress and Emotion Detection for Future Personal Affective Wearable Sensors,"Zamkah A, Hui T, Andrews S, Dey N, Shi F, Sherratt RS.",Biosensors (Basel). 2020 Apr 16;10(4):40. doi: 10.3390/bios10040040.,Zamkah A,Biosensors (Basel),2020,2020-04-23,PMC7235866,10.3390/bios10040040
32,33179901,Early Life Stress Increases Brain Glutamate and Induces Neurobehavioral Manifestations in Rats,"Guan J, Ding Y, Rong Y, Geng Y, Lai L, Qi D, Tang Y, Yang L, Li J, Zhou T, Wu E, Wu R.",ACS Chem Neurosci. 2020 Dec 16;11(24):4169-4178. doi: 10.1021/acschemneuro.0c00454. Epub 2020 Nov 12.,Guan J,ACS Chem Neurosci,2020,2020-11-12,,10.1021/acschemneuro.0c00454
33,31298176,"Biological underpinnings from psychosocial stress towards appetite and obesity during youth: research implications towards metagenomics, epigenomics and metabolomics",Michels N.,Nutr Res Rev. 2019 Dec;32(2):282-293. doi: 10.1017/S0954422419000143. Epub 2019 Jul 12.,Michels N,Nutr Res Rev,2019,2019-07-13,,10.1017/S0954422419000143
34,28488009,"Linking Stress, Catecholamine Autotoxicity, and Allostatic Load with Neurodegenerative Diseases: A Focused Review in Memory of Richard Kvetnansky","Goldstein DS, Kopin IJ.",Cell Mol Neurobiol. 2018 Jan;38(1):13-24. doi: 10.1007/s10571-017-0497-x. Epub 2017 May 9.,Goldstein DS,Cell Mol Neurobiol,2018,2017-05-11,PMC5680155,10.1007/s10571-017-0497-x
35,29016169,The microbiome as a novel paradigm in studying stress and mental health,Liu RT.,Am Psychol. 2017 Oct;72(7):655-667. doi: 10.1037/amp0000058.,Liu RT,Am Psychol,2017,2017-10-11,PMC5637404,10.1037/amp0000058
36,33093530,Chronic stress and antidepressant treatment alter purine metabolism and beta oxidation within mouse brain and serum,"Hamilton PJ, Chen EY, Tolstikov V, Peña CJ, Picone JA, Shah P, Panagopoulos K, Strat AN, Walker DM, Lorsch ZS, Robinson HL, Mervosh NL, Kiraly DD, Sarangarajan R, Narain NR, Kiebish MA, Nestler EJ.",Sci Rep. 2020 Oct 22;10(1):18134. doi: 10.1038/s41598-020-75114-5.,Hamilton PJ,Sci Rep,2020,2020-10-23,PMC7582177,10.1038/s41598-020-75114-5
37,31675562,Joint impact of phthalate exposure and stressful life events in pregnancy on preterm birth,"Ferguson KK, Rosen EM, Barrett ES, Nguyen RHN, Bush N, McElrath TF, Swan SH, Sathyanarayana S.",Environ Int. 2019 Dec;133(Pt B):105254. doi: 10.1016/j.envint.2019.105254. Epub 2019 Oct 29.,Ferguson KK,Environ Int,2019,2019-11-02,PMC6924167,10.1016/j.envint.2019.105254
38,21344254,Measuring stress in wildlife: techniques for quantifying glucocorticoids,"Sheriff MJ, Dantzer B, Delehanty B, Palme R, Boonstra R.",Oecologia. 2011 Aug;166(4):869-87. doi: 10.1007/s00442-011-1943-y. Epub 2011 Feb 23.,Sheriff MJ,Oecologia,2011,2011-02-24,,10.1007/s00442-011-1943-y
39,31790781,Early life stress and the programming of eating behavior and anxiety: Sex-specific relationships with serotonergic activity and hypothalamic neuropeptides,"de Lima RMS, Dos Santos Bento LV, di Marcello Valladão Lugon M, Barauna VG, Bittencourt AS, Dalmaz C, de Vasconcellos Bittencourt APS.",Behav Brain Res. 2020 Feb 3;379:112399. doi: 10.1016/j.bbr.2019.112399. Epub 2019 Nov 29.,de Lima RMS,Behav Brain Res,2020,2019-12-03,,10.1016/j.bbr.2019.112399
40,29100889,Hormone-dependent medial preoptic/lumbar spinal cord/autonomic coordination supporting male sexual behaviors,"Pfaff DW, Baum MJ.",Mol Cell Endocrinol. 2018 May 15;467:21-30. doi: 10.1016/j.mce.2017.10.018. Epub 2017 Oct 31.,Pfaff DW,Mol Cell Endocrinol,2018,2017-11-05,,10.1016/j.mce.2017.10.018
41,31629205,Altered plasma levels of arginine metabolites in depression,"Ozden A, Angelos H, Feyza A, Elizabeth W, John P.",J Psychiatr Res. 2020 Jan;120:21-28. doi: 10.1016/j.jpsychires.2019.10.004. Epub 2019 Oct 7.,Ozden A,J Psychiatr Res,2020,2019-10-20,,10.1016/j.jpsychires.2019.10.004
42,37776732,"Maternal steroids during pregnancy and their associations with exposure to lifetime stressful life events, prenatal stress appraisal and psychological functioning","Colicino E, Cowell W, Pedretti NF, Joshi A, Petrick L, Niedzwiecki M, Wright RO, Wright RJ.",Psychoneuroendocrinology. 2023 Dec;158:106395. doi: 10.1016/j.psyneuen.2023.106395. Epub 2023 Sep 21.,Colicino E,Psychoneuroendocrinology,2023,2023-09-30,PMC10841416,10.1016/j.psyneuen.2023.106395
43,15079139,The neuroendocrinology of posttraumatic stress disorder: new directions,"Rasmusson AM, Vythilingam M, Morgan CA 3rd.","CNS Spectr. 2003 Sep;8(9):651-6, 665-7. doi: 10.1017/s1092852900008841.",Rasmusson AM,CNS Spectr,2003,2004-04-14,,10.1017/s1092852900008841
44,37343758,"Exposure to phthalate metabolites, bisphenol A, and psychosocial stress mixtures and pregnancy outcomes in the Atlanta African American maternal-child cohort","Eatman JA, Dunlop AL, Barr DB, Corwin EJ, Hill CC, Brennan PA, Ryan PB, Panuwet P, Taibl KR, Tan Y, Liang D, Eick SM.",Environ Res. 2023 Sep 15;233:116464. doi: 10.1016/j.envres.2023.116464. Epub 2023 Jun 19.,Eatman JA,Environ Res,2023,2023-06-21,PMC10527701,10.1016/j.envres.2023.116464
45,34040126,Psychological symptoms and salivary inflammatory biomarkers in patients with dentofacial deformities: a case-control study,"Volkweis MCC, Neculqueo GW, Freitas RDS, Dagnino APA, Fritscher GG, Irigaray TQ, Campos MM.",Sci Rep. 2021 May 26;11(1):11083. doi: 10.1038/s41598-021-90721-6.,Volkweis MCC,Sci Rep,2021,2021-05-27,PMC8155030,10.1038/s41598-021-90721-6
46,39273008,"Gut-Brain Axis: Role of Microbiome, Metabolomics, Hormones, and Stress in Mental Health Disorders","Verma A, Inslicht SS, Bhargava A.",Cells. 2024 Aug 27;13(17):1436. doi: 10.3390/cells13171436.,Verma A,Cells,2024,2024-09-14,PMC11394554,10.3390/cells13171436
47,18835437,Synergistic effects of psychological and immune stressors on inflammatory cytokine and sickness responses in humans,"Brydon L, Walker C, Wawrzyniak A, Whitehead D, Okamura H, Yajima J, Tsuda A, Steptoe A.",Brain Behav Immun. 2009 Feb;23(2):217-24. doi: 10.1016/j.bbi.2008.09.007. Epub 2008 Sep 20.,Brydon L,Brain Behav Immun,2009,2008-10-07,PMC2637301,10.1016/j.bbi.2008.09.007
48,17920688,Changes in neuroactive steroid content during social isolation stress modulate GABAA receptor plasticity and function,"Serra M, Pisu MG, Mostallino MC, Sanna E, Biggio G.",Brain Res Rev. 2008 Mar;57(2):520-30. doi: 10.1016/j.brainresrev.2007.06.029. Epub 2007 Aug 21.,Serra M,Brain Res Rev,2008,2007-10-09,,10.1016/j.brainresrev.2007.06.029
49,34553679,Exploring the metabolomic profile of cerebellum after exposure to acute stress,"Iliou A, Vlaikou AM, Nussbaumer M, Benaki D, Mikros E, Gikas E, Filiou MD.",Stress. 2021 Nov;24(6):952-964. doi: 10.1080/10253890.2021.1973997. Epub 2021 Sep 23.,Iliou A,Stress,2021,2021-09-23,,10.1080/10253890.2021.1973997
50,38418579,Brain structural and functional outcomes in the offspring of women experiencing psychological distress during pregnancy,"Wu Y, De Asis-Cruz J, Limperopoulos C.",Mol Psychiatry. 2024 Jul;29(7):2223-2240. doi: 10.1038/s41380-024-02449-0. Epub 2024 Feb 28.,Wu Y,Mol Psychiatry,2024,2024-02-28,PMC11408260,10.1038/s41380-024-02449-0
51,34113732,Urine metabolite profiling of Indian Antarctic Expedition members: NMR spectroscopy-based metabolomic investigation,"Bhushan B, Upadhyay D, Sharma U, Jagannathan N, Singh SB, Ganju L.",Heliyon. 2021 May 25;7(5):e07114. doi: 10.1016/j.heliyon.2021.e07114. eCollection 2021 May.,Bhushan B,Heliyon,2021,2021-06-11,PMC8170161,10.1016/j.heliyon.2021.e07114
52,30044120,Quercetin protects against stress-induced anxiety- and depression-like behavior and improves memory in male mice,"Samad N, Saleem A, Yasmin F, Shehzad MA.",Physiol Res. 2018 Nov 14;67(5):795-808. doi: 10.33549/physiolres.933776. Epub 2018 Jul 25.,Samad N,Physiol Res,2018,2018-07-26,,10.33549/physiolres.933776
53,26776368,"Effects of paternal and peripubertal stress on aggression, anxiety, and metabolic alterations in the lateral septum","Cordero MI, Just N, Poirier GL, Sandi C.",Eur Neuropsychopharmacol. 2016 Feb;26(2):357-367. doi: 10.1016/j.euroneuro.2015.11.017. Epub 2015 Nov 30.,Cordero MI,Eur Neuropsychopharmacol,2016,2016-01-19,,10.1016/j.euroneuro.2015.11.017
54,32920479,Plasma metabolomic profiling of repeated restraint stress in rats,"Chen S, Lu D, Wang W, Chen W, Zhang S, Wei S.",J Chromatogr B Analyt Technol Biomed Life Sci. 2020 Dec 1;1160:122294. doi: 10.1016/j.jchromb.2020.122294. Epub 2020 Jul 30.,Chen S,J Chromatogr B Analyt Technol Biomed Life Sci,2020,2020-09-13,,10.1016/j.jchromb.2020.122294
55,23643993,"Behavioral deficits, abnormal corticosterone, and reduced prefrontal metabolites of adolescent rats subject to early life stress","Zhang J, Abdallah CG, Chen Y, Huang T, Huang Q, Xu C, Xiao Y, Liu Y, Ding Y, Wu R.",Neurosci Lett. 2013 Jun 17;545:132-7. doi: 10.1016/j.neulet.2013.04.035. Epub 2013 May 2.,Zhang J,Neurosci Lett,2013,2013-05-07,PMC3699722,10.1016/j.neulet.2013.04.035
56,32569990,The gut microbiota metabolite indole increases emotional responses and adrenal medulla activity in chronically stressed male mice,"Mir HD, Milman A, Monnoye M, Douard V, Philippe C, Aubert A, Castanon N, Vancassel S, Guérineau NC, Naudon L, Rabot S.",Psychoneuroendocrinology. 2020 Sep;119:104750. doi: 10.1016/j.psyneuen.2020.104750. Epub 2020 Jun 5.,Mir HD,Psychoneuroendocrinology,2020,2020-06-23,,10.1016/j.psyneuen.2020.104750
57,24756763,"Neurosteroid, GABAergic and hypothalamic pituitary adrenal (HPA) axis regulation: what is the current state of knowledge in humans?","Crowley SK, Girdler SS.",Psychopharmacology (Berl). 2014 Sep;231(17):3619-34. doi: 10.1007/s00213-014-3572-8. Epub 2014 Apr 23.,Crowley SK,Psychopharmacology (Berl),2014,2014-04-24,PMC4135030,10.1007/s00213-014-3572-8
58,21307048,Stress associated with group living in a long-lived bird,"Selva N, Cortés-Avizanda A, Lemus JA, Blanco G, Mueller T, Heinrich B, Donázar JA.",Biol Lett. 2011 Aug 23;7(4):608-10. doi: 10.1098/rsbl.2010.1204. Epub 2011 Feb 9.,Selva N,Biol Lett,2011,2011-02-11,PMC3130225,10.1098/rsbl.2010.1204
59,30084722,Plasma metabolomic patterns in patients with exhaustion disorder,"Hadrévi J, Jonsdottir IH, Jansson PA, Eriksson JW, Sjörs A.",Stress. 2019 Jan;22(1):17-26. doi: 10.1080/10253890.2018.1494150. Epub 2018 Aug 7.,Hadrévi J,Stress,2019,2018-08-08,,10.1080/10253890.2018.1494150
60,29599484,Prophylactic ketamine alters nucleotide and neurotransmitter metabolism in brain and plasma following stress,"McGowan JC, Hill C, Mastrodonato A, LaGamma CT, Kitayev A, Brachman RA, Narain NR, Kiebish MA, Denny CA.",Neuropsychopharmacology. 2018 Aug;43(9):1813-1821. doi: 10.1038/s41386-018-0043-7. Epub 2018 Mar 29.,McGowan JC,Neuropsychopharmacology,2018,2018-03-31,PMC6046049,10.1038/s41386-018-0043-7
61,9143144,Vulnerability to stress: self-criticism and stress-induced changes in biochemistry,"Gruen RJ, Silva R, Ehrlich J, Schweitzer JW, Friedhoff AJ.",J Pers. 1997 Mar;65(1):33-47. doi: 10.1111/j.1467-6494.1997.tb00528.x.,Gruen RJ,J Pers,1997,1997-03-01,,10.1111/j.1467-6494.1997.tb00528.x
62,9921957,Psychological stress in the workplace and menstrual function,"Fenster L, Waller K, Chen J, Hubbard AE, Windham GC, Elkin E, Swan S.",Am J Epidemiol. 1999 Jan 15;149(2):127-34. doi: 10.1093/oxfordjournals.aje.a009777.,Fenster L,Am J Epidemiol,1999,1999-01-28,,10.1093/oxfordjournals.aje.a009777
63,34045621,"Association between stress and bilateral symmetrical alopecia in free-ranging Formosan macaques in Mt. Longevity, Taiwan","Chen CC, Chang AM, Tsai MS, Huang YH, Pei KJ, Li YC.",Sci Rep. 2021 May 27;11(1):11189. doi: 10.1038/s41598-021-90725-2.,Chen CC,Sci Rep,2021,2021-05-28,PMC8160012,10.1038/s41598-021-90725-2
64,8723430,Effects of long-term psychological stress on sexual behavior and brain catecholamine levels,"Sato Y, Suzuki N, Horita H, Wada H, Shibuya A, Adachi H, Tsukamoto T, Kumamoto Y, Yamamoto M.",J Androl. 1996 Mar-Apr;17(2):83-90.,Sato Y,J Androl,1996,1996-03-01,,
65,34090909,Understanding the effects of Moringa oleifera in chronic unpredictable stressed zebrafish using metabolomics analysis,"Rosdy MS, Rofiee MS, Samsulrizal N, Salleh MZ, Teh LK.",J Ethnopharmacol. 2021 Oct 5;278:114290. doi: 10.1016/j.jep.2021.114290. Epub 2021 Jun 6.,Rosdy MS,J Ethnopharmacol,2021,2021-06-06,,10.1016/j.jep.2021.114290
66,35735411,Multi-strain Probiotic Formulation Reverses Maternal Separation and Chronic Unpredictable Mild Stress-Generated Anxiety- and Depression-like Phenotypes by Modulating Gut Microbiome-Brain Activity in Rats,"Dandekar MP, Palepu MSK, Satti S, Jaiswal Y, Singh AA, Dash SP, Gajula SNR, Sonti R.",ACS Chem Neurosci. 2022 Jul 6;13(13):1948-1965. doi: 10.1021/acschemneuro.2c00143. Epub 2022 Jun 23.,Dandekar MP,ACS Chem Neurosci,2022,2022-06-23,,10.1021/acschemneuro.2c00143
67,29317595,Hippocampal metabolic differences implicate distinctions between physical and psychological stress in four rat models of depression,"Liu L, Zhou X, Zhang Y, Pu J, Yang L, Yuan S, Zhao L, Zhou C, Zhang H, Xie P.",Transl Psychiatry. 2018 Jan 10;8(1):4. doi: 10.1038/s41398-017-0018-1.,Liu L,Transl Psychiatry,2018,2018-01-11,PMC5802536,10.1038/s41398-017-0018-1
68,30571984,Metabolite signature associated with stress susceptibility in socially defeated mice,"Prabhu VV, Nguyen TB, Cui Y, Oh YE, Piao YH, Baek HM, Kim JY, Shin KH, Kim JH, Lee KH, Chung YC.",Brain Res. 2019 Apr 1;1708:171-180. doi: 10.1016/j.brainres.2018.12.020. Epub 2018 Dec 17.,Prabhu VV,Brain Res,2019,2018-12-21,,10.1016/j.brainres.2018.12.020
69,31699965,Molecular and cellular mechanisms underlying the antidepressant effects of ketamine enantiomers and its metabolites,"Yang C, Yang J, Luo A, Hashimoto K.",Transl Psychiatry. 2019 Nov 7;9(1):280. doi: 10.1038/s41398-019-0624-1.,Yang C,Transl Psychiatry,2019,2019-11-09,PMC6838457,10.1038/s41398-019-0624-1
70,28704473,Enriched environment and stress exposure influence splenic B lymphocyte composition,"Gurfein BT, Hasdemir B, Milush JM, Touma C, Palme R, Nixon DF, Darcel N, Hecht FM, Bhargava A.",PLoS One. 2017 Jul 12;12(7):e0180771. doi: 10.1371/journal.pone.0180771. eCollection 2017.,Gurfein BT,PLoS One,2017,2017-07-14,PMC5507530,10.1371/journal.pone.0180771
71,28163282,Potential objective biomarkers for fatigue among working women,"Ebata C, Tatsuta H, Tatemichi M.",J Occup Health. 2017 May 25;59(3):286-291. doi: 10.1539/joh.16-0206-BR. Epub 2017 Feb 4.,Ebata C,J Occup Health,2017,2017-02-07,PMC5478511,10.1539/joh.16-0206-BR
72,37632459,"Diverse roles of glucocorticoids in the ruminant mammary gland: modulation of mammary growth, milk production, and mastitis","Ma X, Liu H, Jia Q, Zheng Y, Li W, Chang M, Fu H, Zhu H.",Stress. 2023 Nov;26(1):2252938. doi: 10.1080/10253890.2023.2252938.,Ma X,Stress,2023,2023-08-26,,10.1080/10253890.2023.2252938
73,35967846,Therapeutic effect of fecal microbiota transplantation on chronic unpredictable mild stress-induced depression,"Cai T, Zheng SP, Shi X, Yuan LZ, Hu H, Zhou B, Xiao SL, Wang F.",Front Cell Infect Microbiol. 2022 Jul 28;12:900652. doi: 10.3389/fcimb.2022.900652. eCollection 2022.,Cai T,Front Cell Infect Microbiol,2022,2022-08-15,PMC9366333,10.3389/fcimb.2022.900652
74,31417554,Dietary Oligosaccharides Attenuate Stress-Induced Disruptions in Immune Reactivity and Microbial B-Vitamin Metabolism,"Allen JM, Jaggers RM, Solden LM, Loman BR, Davies RH, Mackos AR, Ladaika CA, Berg BM, Chichlowski M, Bailey MT.",Front Immunol. 2019 Jul 29;10:1774. doi: 10.3389/fimmu.2019.01774. eCollection 2019.,Allen JM,Front Immunol,2019,2019-08-17,PMC6681768,10.3389/fimmu.2019.01774
75,32391630,Gut-brain axis serotonergic responses to acute stress exposure are microbiome-dependent,"Lyte JM, Gheorghe CE, Goodson MS, Kelley-Loughnane N, Dinan TG, Cryan JF, Clarke G.",Neurogastroenterol Motil. 2020 Nov;32(11):e13881. doi: 10.1111/nmo.13881. Epub 2020 May 11.,Lyte JM,Neurogastroenterol Motil,2020,2020-05-12,,10.1111/nmo.13881
